,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,awardee,tender_count,avg_comp,award_val
491,2021-2022,Water Resources Department- World Bank Tenders,AOC,Goods,['AIMIL LTD'],1.0,-1.0,9143088.0
492,2021-2022,Water Resources Department- World Bank Tenders,AOC,Goods,['DAL THOMS SCIENTIFIC'],1.0,3.0,1499396.0
493,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['ARYA ENTERPRISE'],3.0,2.3333333333333335,27961766.0
494,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Aditya Kumar Ghosh'],1.0,-1.0,7829730.0
495,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Anupam Mazumdar'],1.0,3.0,7214281.86
496,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Bijay Pegu'],1.0,1.0,9731187.3
497,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Bipul Basumatary'],2.0,0.0,19072751.509999998
498,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['CHAKRADHAR BARO'],3.0,0.0,33397300.0
499,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['DHAJEN WARY'],2.0,-1.0,25027734.57
500,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['DHIRAJ GOGOI'],1.0,-1.0,8076316.32
501,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Dilip Kumar Bora'],2.0,3.0,14763250.0
502,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['JWANGBLAW BASUMATARY'],1.0,-1.0,8871390.0
503,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Jintu Kumar Deori'],2.0,-1.0,14130700.0
504,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['KARMAJYOTI DEURI'],4.0,0.75,59080529.080000006
505,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['KHAGENDRA NATH SARKAR'],2.0,-1.0,14299400.0
506,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Kamal Kumar Modi'],2.0,2.5,29576108.04
507,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['M/S P D ENTERPRISE'],1.0,2.0,8700000.0
508,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['M/S P.D. ENTERPRISE'],4.0,1.25,79711492.06
509,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['M/s. Eureka Trade'],3.0,0.0,40672600.0
510,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['MANOJ KR. HARLALKA'],1.0,-1.0,8697960.06
511,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['MS Embee Associates'],2.0,2.5,24984331.81
512,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['NABA BASUMATARY'],1.0,-1.0,8871390.0
513,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['PRASANTA NARAH'],1.0,1.0,9724355.7
514,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['S S ENTERPRISE'],2.0,0.5,24988481.84
515,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Sachin Basumatary'],4.0,0.75,45443997.63
516,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Goods,['SANSIYA'],1.0,-1.0,5122.0
517,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Goods,['ULTIMATE MEDICAL DEVICES'],1.0,-1.0,504912.0
518,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['Acube Architects'],1.0,-1.0,0.0
519,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['BISWAJIT KALITA'],1.0,-1.0,2196000.0
520,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['IQVIA Consulting and Information Services India Private Limited'],1.0,-1.0,11668498.0
521,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['M/S Udang Hotel & Restuarant'],1.0,-1.0,13500.0
522,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['MAA TRAVEL AGENCY'],1.0,-1.0,277500.0
523,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['MAXWORK PRIVATE LIMITED'],1.0,-1.0,800040.0
524,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,['THE CATERING ROOM'],1.0,-1.0,570000.0
525,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,['ANJ TURNKEY PROJECTS PRIVATE LIMITED'],1.0,-1.0,74561537.0
526,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,['Bigboss Digitech'],1.0,-1.0,2674181.0
527,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,['EASTERN ENVO PROTECT.'],1.0,-1.0,4378903.0
528,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['AARHI TRADERS'],1.0,-1.0,3252480.0
529,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['ASSAM CHEMICALS & INSTRUMENTS CORPORATION'],1.0,-1.0,624810.0
530,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['BAIF Development Research Foundation'],1.0,-1.0,3390000.0
531,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['Genus Breeding India Private Limited'],1.0,-1.0,75400000.0
532,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['IMV India Private Limited'],1.0,3.0,3675859.0
533,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['Seven Sisters Enterprise'],1.0,-1.0,36105300.0
534,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['THE HIMALAYA DRUG COMPANY'],1.0,-1.0,1536136.0
535,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,['shri ram cattle feed'],1.0,-1.0,369990.0
536,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,['A.M. COMMUNICATION'],1.0,-1.0,3422000.0
537,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,['Anihelp'],1.0,1.0,3188600.0
538,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,['Associated Tea & Agro Management Services Pvt. Ltd.'],1.0,-1.0,4217615.0
539,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,['COMMUNITY ACTION THROUGH MOTIVATION PROGRAMME CAMP'],1.0,-1.0,351247999.0
540,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,['RIPUNJOY BORTHAKUR'],1.0,-1.0,3782075.0
541,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['APURBA KR DEKA'],1.0,-1.0,2355762.1
542,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Ajit Kr. Pegu'],3.0,3.0,8899774.76
543,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Anupam Industrial Corporation'],1.0,-1.0,2966445.15
544,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Asikur Rahman'],2.0,-1.0,7175804.07
545,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['BISS AT EASE INDIA PRIVATE LIMITED'],1.0,3.0,5847929.0
546,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Bhoomi Agro'],1.0,-1.0,2269680.0
547,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Bibhuti Bhushan Bora'],1.0,-1.0,2629380.0
548,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['CHANDAN GIRI'],1.0,-1.0,2300700.0
549,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Consulting Engineer NG'],1.0,-1.0,8211000.0
550,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['DIP JYOTI ROY'],1.0,3.0,3025553.98
551,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Evergreen Enterprise'],2.0,-1.0,4977700.0
552,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['GOPAL CHANDRA BORA'],3.0,0.6666666666666666,14160303.48
553,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['INDRANUJ KASHYAP'],1.0,-1.0,2966440.83
554,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['KABENDRA DEKA'],1.0,-1.0,2922000.0
555,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['M/S RUKMINI AND ASSOCIATES'],1.0,-1.0,2864519.78
556,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['M/S Rodali Associates'],1.0,-1.0,2979945.0
557,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['MONSOON ENTERPRISE'],1.0,-1.0,3000191.96
558,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['NORTH EAST PRODUCTS'],1.0,-1.0,9425012.51
559,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['RAJU BARBHUYIA'],1.0,3.0,4419937.95
560,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,['Rajib Mohan Das'],1.0,-1.0,2300700.0
561,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,['ADVANCE INSTRUMENTS'],1.0,-1.0,2993067.0
562,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,['Asomi Enterprise'],1.0,3.0,2701656.78
563,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,['BEN PHARMACEUTICALS'],1.0,-1.0,1021496.0
564,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,['BIO-CARE ASSOCIATES'],1.0,2.0,11868660.0
565,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,['INDOMA MARINE PVT. LTD.'],2.0,-1.0,4049054.0
566,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Services,['Arihant Offset'],1.0,-1.0,1510880.0
567,2022-2023,Assam Agricultural University,AOC,Goods,['AGRO ASIAN INDUSTRIES'],1.0,5.0,5750000.0
568,2022-2023,Assam Agricultural University,AOC,Goods,['Aurora Fine Arts'],1.0,-1.0,1953000.0
569,2022-2023,Assam Agricultural University,AOC,Goods,['COMPREHENSIVE CONSULTANCY PVT LTD'],1.0,-1.0,81753.58
570,2022-2023,Assam Agricultural University,AOC,Goods,['DAL THOMS SCIENTIFIC'],1.0,-1.0,1799500.0
571,2022-2023,Assam Agricultural University,AOC,Goods,['Dronix Technologies Pvt Ltd'],1.0,-1.0,1775400.0
572,2022-2023,Assam Agricultural University,AOC,Goods,['PRIYO SCIENTIFIC'],1.0,-1.0,3889651.0
573,2022-2023,Assam Agricultural University,AOC,Goods,['RCHOBBYTECH SOLUTIONS PRIVATE LIMITED'],1.0,-1.0,3352500.0
574,2022-2023,Assam Agricultural University,AOC,Works,['APCON GROUP'],9.0,-0.4444444444444444,111312592.0
575,2022-2023,Assam Agricultural University,AOC,Works,['ARINDOM PHUKAN'],1.0,-1.0,14936400.0
576,2022-2023,Assam Agricultural University,AOC,Works,['Amitabh Choudhury'],2.0,0.5,54598672.0
577,2022-2023,Assam Agricultural University,AOC,Works,['Arpon Jyoti Neog'],2.0,-1.0,7008159.0
578,2022-2023,Assam Agricultural University,AOC,Works,['DIPANKAR BORA'],1.0,-1.0,4458253.0
579,2022-2023,Assam Agricultural University,AOC,Works,['Dipen Ch. Das'],2.0,-1.0,20581950.77
580,2022-2023,Assam Agricultural University,AOC,Works,['Hitech Associates'],1.0,-1.0,16390200.0
581,2022-2023,Assam Agricultural University,AOC,Works,['MS Clarion Projects'],1.0,-1.0,2821812.0
582,2022-2023,Assam Agricultural University,AOC,Works,['OM CONSTRUCTIONS'],1.0,-1.0,17799300.0
583,2022-2023,Assam Agricultural University,AOC,Works,['PROMAK TECHNOLOGIES AND SERVICES'],1.0,-1.0,148400000.0
584,2022-2023,Assam Agricultural University,AOC,Works,['RAJDEEP AGRI PRODUCTS PVT. LTD.'],1.0,-1.0,3648000.0
585,2022-2023,Assam Agricultural University,AOC,Works,['Rajib Saikia'],1.0,-1.0,3843000.0
586,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,['Elmack Engg Services'],1.0,3.0,2750000.0
587,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,['Engineering chamber'],1.0,-1.0,1817436.0
588,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,['Shiv Construction'],1.0,-1.0,669824.0
589,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['ABN Tower and Transmission Private Limited'],5.0,0.4,150423746.0
590,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['ARADHANA AGENCY'],1.0,2.0,12513893.0
591,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['ARUP NARZARY'],1.0,-1.0,2624621.0
592,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['Assam Supply Syndicate'],2.0,0.5,46532533.66
593,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['DILIP KUMAR SAIKIA'],1.0,-1.0,16887365.0
594,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['Everlite Engineering Industries'],1.0,2.0,14695543.0
595,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['GANAPATI ENTERPRISE'],1.0,-1.0,25481317.0
596,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['HI-TECH CORPORATION'],1.0,-1.0,22600622.0
597,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['Jayanta Khaund'],2.0,-1.0,57668927.0
598,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['MUSSADDIK IQBAL HAZARIKA'],1.0,-1.0,1919511.0
599,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['Naruttam Changmai'],1.0,-1.0,23718535.0
600,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['P & S CONSTRUCTION'],2.0,-1.0,13331341.0
601,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['Raihanul Hoque Prodhani'],1.0,-1.0,1693488.0
602,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,['Shiv Construction'],1.0,-1.0,1449453.0
603,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['Delta Engineers'],1.0,7.0,4685700.0
604,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['G B Enterprise'],3.0,0.6666666666666666,9137725.5
605,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['KMV Projects Limited'],1.0,-1.0,1542123385.68
606,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['Karabi Bora Devi'],1.0,-1.0,2848122.79
607,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['M S P and B ENTERPRISE'],1.0,2.0,7458444.0
608,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['M. K. ENTERPRISE'],3.0,0.6666666666666666,19248456.9
609,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['M/S Deys Electric'],1.0,-1.0,4266245.0
610,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['M/S J D ENTERPRISE'],1.0,3.0,19901170.68
611,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['M/S MAA Enetrprise'],1.0,-1.0,15748742.37
612,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['MANASH PRATIM KHANIKAR'],1.0,-1.0,44012716.82
613,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['MR.BIKASH THAKURIA'],1.0,-1.0,14967774.9
614,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['MRINAL DAS'],1.0,-1.0,58585271.0
615,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['PANKAJ KHANIKAR'],1.0,-1.0,23469729.0
616,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['Prakash Sinha'],2.0,-1.0,7500000.0
617,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['SHRI SUSHANTA KUMAR NAYAK'],2.0,-1.0,23425570.0
618,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['SUSANTA RABHA'],1.0,-1.0,3173455.55
619,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['Sri Jibamoni Kakoty'],1.0,-1.0,2970000.0
620,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['UP Rajkiya Nirman Nigam Ltd.'],1.0,-1.0,1601799000.0
621,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,['monuj mahanta'],1.0,2.0,4783118.0
622,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,['Aries Corporate Services Pvt Ltd'],2.0,1.0,977399167.51
623,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,['BRAHMAPUTRA RIVER VALLEY TRADING PVT. LTD.'],1.0,-1.0,775000000.0
624,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,['CABCON INDIA LIMITED'],1.0,-1.0,894684984.01
625,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,['DEVYANSH CONSTRUCTION AND DEVELOPERS PRIVATE LIMITED'],1.0,4.0,475832153.13
626,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,['Lumino Industries Limited'],1.0,-1.0,809739307.71
627,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,['Win Power Infra Pvt Ltd'],1.0,-1.0,549391616.97
628,2022-2023,Assam Power Distribution Company Ltd,AOC,Goods,['BMG Informatics Pvt Ltd'],1.0,-1.0,3398400.0
629,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['C K PRUSTY AND ASSOCIATES'],1.0,-1.0,780924.0
630,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['Cloudstrats Technologies Pvt Ltd'],1.0,2.0,44934044.53
631,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['DELOITTE TOUCHE TOHMATSU INDIA LLP'],1.0,4.0,70729200.0
632,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['Fichtner consulting engineers india private ltd'],1.0,-1.0,27183117.0
633,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['GarudaUAV Soft Solutions Pvt Ltd'],1.0,-1.0,3776000.0
634,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['LAHON BANIJYIK ENTERPRISE'],2.0,-1.0,7657728.0
635,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['RAMA K GUPTA & CO'],3.0,-1.0,1158458.19
636,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,['SPRKCO'],3.0,-1.0,2904570.0
637,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['AAKANSH AGARWALLA'],1.0,4.0,8373596.0
638,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Adani Transmission Limited'],1.0,-1.0,8447641998.6
639,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Apraava Energy Private Limited'],1.0,-1.0,6585332462.61
640,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Better Power Services Pvt. Ltd.'],1.0,-1.0,14918300.0
641,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['CESTA Enterprise'],1.0,-1.0,2622095.0
642,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['D J ENGINEERING'],2.0,-1.0,13903837.0
643,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['DI POWER AND INFRACON PVT. LTD.'],1.0,-1.0,9299535.0
644,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Dhanvi Engineers( Prop Sri Dilip Ch. Dutta)'],1.0,4.0,11701865.71
645,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['ELECTRO INFRATECH'],1.0,-1.0,3717531.0
646,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Everlite Engineering Industries'],1.0,3.0,100124005.81
647,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Genus Power Infrastructures Ltd.'],2.0,-1.0,14421881706.119999
648,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['HABI INFRASTRUCTURE'],1.0,-1.0,3298082.3
649,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['HANUMAN ENTERPRISE'],1.0,-1.0,2606883.0
650,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['Hi-Print Metering Solutions Private Limited'],2.0,-1.0,14117850023.130001
651,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['J.B.Engineers And Associates'],1.0,-1.0,8173697.28
652,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['LAHON BANIJYIK ENTERPRISE'],1.0,-1.0,5676825.0
653,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['M/S Assam Electric Store'],4.0,0.0,311911405.40999997
654,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['M/S R.S. ENTERPRISE'],3.0,-1.0,36930047.14
655,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['M/S U.K. ENTERPRISE'],2.0,-1.0,24575339.29
656,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['M/S. R.D. ELECTRICAL ENTERPRISE'],1.0,-1.0,3193705.51
657,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['M/s Habibar Rahman'],2.0,-1.0,35584585.47
658,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['OK Enterprise'],1.0,-1.0,7437471.0
659,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,['SURAJ KUMAR SHARMA'],1.0,-1.0,5933032.92
660,2022-2023,Assam Power Generation Company Limited,AOC,Goods,['Donaldson India Filter Systems Pvt Ltd'],1.0,-1.0,1877522.0
661,2022-2023,Assam Power Generation Company Limited,AOC,Goods,['ELECTRO INFRATECH'],1.0,-1.0,1899800.0
662,2022-2023,Assam Power Generation Company Limited,AOC,Services,['DELOITTE TOUCHE TOHMATSU INDIA LLP'],1.0,-1.0,1746400.0
663,2022-2023,Assam Power Generation Company Limited,AOC,Services,['GarudaUAV Soft Solutions Pvt Ltd'],1.0,-1.0,529111.88
664,2022-2023,Assam Power Generation Company Limited,AOC,Services,['M/S Langpi Enterprise'],1.0,-1.0,4801066.0
665,2022-2023,Assam Power Generation Company Limited,AOC,Services,['SIXD ENGINEERING SOLUTIONS PRIVATE LIMITED'],1.0,-1.0,3658000.0
666,2022-2023,Assam Power Generation Company Limited,AOC,Works,['Shom kharka'],1.0,-1.0,2936850.0
667,2022-2023,Assam Power Generation Company Limited,AOC,Works,['Sri Kartik Biswas'],1.0,-1.0,2892000.0
668,2022-2023,Assam Power Generation Company Limited,AOC,Works,['Sri Nipu Gogoi'],1.0,-1.0,916974.63
669,2022-2023,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,['Bharti Airtel Ltd'],1.0,-1.0,9192200.0
670,2022-2023,Assam Science and Technology University,AOC,Works,['MD RAFIQUL ISLAM'],1.0,-1.0,4379999.73
671,2022-2023,Assam State Agricultural Marketing Board,AOC,Services,['Jayanta Khaund'],2.0,-1.0,600000.0
672,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,AOC,Services,['Tractebel GKW GmbH'],1.0,-1.0,0.0
673,2022-2023,Assam State Transport Corporation,AOC,Goods,['J K TYRE & INDUSTRIES LIMITED'],1.0,-1.0,172076.8
674,2022-2023,Assam State Transport Corporation,AOC,Goods,['OLECTRA GREENTECH LIMITED'],1.0,-1.0,1516442500.0
675,2022-2023,Assam State Transport Corporation,AOC,Goods,['SUPREME TREADS PRIVATE LIMITED'],1.0,-1.0,1453.76
676,2022-2023,Assam State Transport Corporation,AOC,Services,['Abdul Khalique Bepari'],1.0,-1.0,35.0
677,2022-2023,Assam State Transport Corporation,AOC,Services,['KPMG Advisory Services Private limited'],1.0,-1.0,23599764.0
678,2022-2023,Assam State Transport Corporation,AOC,Works,['M/S KENGE CONSTRUCTION CO.'],1.0,-1.0,213546880.0
679,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Services,['SIBIN Group'],1.0,-1.0,0.0
680,2022-2023,BODOLAND UNIVERSITY,AOC,Works,['DILIP KUMAR BASUMATARY'],1.0,-1.0,15000000.0
681,2022-2023,BODOLAND UNIVERSITY,AOC,Works,['KIRAN BASUMATARY'],1.0,4.0,5734391.31
682,2022-2023,BODOLAND UNIVERSITY,AOC,Works,['Mehuel Wary'],1.0,24.0,14669502.75
683,2022-2023,Bodoland Territorial Council,AOC,Goods,['AVIMA EXPORTS PVT LTD'],1.0,-1.0,418000.0
684,2022-2023,Bodoland Territorial Council,AOC,Goods,['Anjan Das'],1.0,-1.0,4999680.0
685,2022-2023,Bodoland Territorial Council,AOC,Goods,['BRIKENDRA BASUMATARY'],1.0,7.0,14999670.0
686,2022-2023,Bodoland Territorial Council,AOC,Goods,['DANSHRI ENTERPRISE'],3.0,-0.3333333333333333,71094810.0
687,2022-2023,Bodoland Territorial Council,AOC,Goods,['Deepranjan Automobiles'],1.0,-1.0,11999900.0
688,2022-2023,Bodoland Territorial Council,AOC,Goods,['Dilip Kumar Das'],1.0,-1.0,19999900.0
689,2022-2023,Bodoland Territorial Council,AOC,Goods,['FUNGKHA BRAHMA'],1.0,2.0,14998500.0
690,2022-2023,Bodoland Territorial Council,AOC,Goods,['Hiramba Narzary'],1.0,7.0,37911345.0
691,2022-2023,Bodoland Territorial Council,AOC,Goods,['J. N. Trading'],1.0,-1.0,10261.0
692,2022-2023,Bodoland Territorial Council,AOC,Goods,['J. T. ENTERPRISE'],1.0,-1.0,24909948.0
693,2022-2023,Bodoland Territorial Council,AOC,Goods,['J.M. DISTRIBUTORS'],1.0,-1.0,20003945.0
694,2022-2023,Bodoland Territorial Council,AOC,Goods,['M. M. Associates'],1.0,-1.0,2436.0
695,2022-2023,Bodoland Territorial Council,AOC,Goods,['M/S M.M. ENTERPRISE'],1.0,-1.0,97438669.0
696,2022-2023,Bodoland Territorial Council,AOC,Goods,['M/s ATD Enterprise'],6.0,0.3333333333333333,54981502.0
697,2022-2023,Bodoland Territorial Council,AOC,Goods,['M/s Chirang Motors Private Limited'],4.0,-1.0,33411200.0
698,2022-2023,Bodoland Territorial Council,AOC,Goods,['M/s Narzary Farm'],1.0,-1.0,4799000.0
699,2022-2023,Bodoland Territorial Council,AOC,Goods,['M/s Shair Way Enterprise'],2.0,-1.0,21000000.0
700,2022-2023,Bodoland Territorial Council,AOC,Goods,['MITHUN BRAHMA'],1.0,-1.0,9999996.0
701,2022-2023,Bodoland Territorial Council,AOC,Goods,['Manoj Kumar Machahary'],1.0,-1.0,12484959.0
702,2022-2023,Bodoland Territorial Council,AOC,Goods,['NIJWM KHUNGUR NARZARY'],2.0,-1.0,38422.6
703,2022-2023,Bodoland Territorial Council,AOC,Goods,['Tarun Saha'],1.0,-1.0,19999452.96
704,2022-2023,Bodoland Territorial Council,AOC,Goods,['Yash global reach'],1.0,-1.0,1735000.0
705,2022-2023,Bodoland Territorial Council,AOC,Goods,['prakash body construction company'],1.0,-1.0,2298000.0
706,2022-2023,Bodoland Territorial Council,AOC,Services,['Symbiotic Foods Private Limited'],1.0,-1.0,13802880.0
707,2022-2023,Bodoland Territorial Council,AOC,Works,['A M INDUSTRIES'],1.0,3.0,2163790.8
708,2022-2023,Bodoland Territorial Council,AOC,Works,['A R ASSOCIATES'],6.0,-0.3333333333333333,62233098.440000005
709,2022-2023,Bodoland Territorial Council,AOC,Works,['A R ENTERPRISE'],1.0,-1.0,3253258.8
710,2022-2023,Bodoland Territorial Council,AOC,Works,['ABDUL HAMID CHOUDHURY'],5.0,0.2,50399333.0
711,2022-2023,Bodoland Territorial Council,AOC,Works,['ABDUL SAMAD CHOUDHURY'],2.0,1.5,55200799.7
